ensembl_gene_id	external_gene_id	refseq_mrna
ENSG00000107372	ZFAND5	NM_001102421
ENSG00000107372	ZFAND5	NM_006007
ENSG00000086666	ZFAND6	NM_001242914
ENSG00000086666	ZFAND6	NM_001242913
ENSG00000086666	ZFAND6	NM_019006
ENSG00000086666	ZFAND6	NM_001242917
ENSG00000086666	ZFAND6	NM_001242911
ENSG00000086666	ZFAND6	NM_001242915
ENSG00000086666	ZFAND6	NM_001242916
ENSG00000066827	ZFAT	NM_001174158
ENSG00000066827	ZFAT	NM_001029939
ENSG00000066827	ZFAT	NM_001174157
ENSG00000066827	ZFAT	NM_020863
ENSG00000066827	ZFAT	NM_001167583
ENSG00000133858	ZFC3H1	NM_144982
ENSG00000136367	ZFHX2	NM_033400
ENSG00000140836	ZFHX3	NM_006885
ENSG00000140836	ZFHX3	NM_001164766
ENSG00000091656	ZFHX4	NM_024721
ENSG00000184517	ZFP1	NM_153688
ENSG00000142065	ZFP14	NM_020917
ENSG00000198939	ZFP2	NM_030613
ENSG00000196867	ZFP28	NM_020828
ENSG00000180787	ZFP3	NM_153018
ENSG00000120784	ZFP30	NM_014898
ENSG00000128016	ZFP36	NM_003407
ENSG00000185650	ZFP36L1	NM_004926
ENSG00000185650	ZFP36L1	NM_001244701
ENSG00000152518	ZFP36L2	NM_006887
ENSG00000136866	ZFP37	NM_003408
ENSG00000181638	ZFP41	NM_001271156
ENSG00000181638	ZFP41	NM_173832
ENSG00000179059	ZFP42	NM_174900
ENSG00000204644	ZFP57	NM_001109809
ENSG00000196670	ZFP62	NM_001172638
ENSG00000196670	ZFP62	NM_152283
ENSG00000020256	ZFP64	NM_199427
ENSG00000020256	ZFP64	NM_022088
ENSG00000020256	ZFP64	NM_018197
ENSG00000020256	ZFP64	NM_199426
ENSG00000187815	ZFP69	NM_198494
ENSG00000187801	ZFP69B	NM_023070
ENSG00000181007	ZFP82	NM_133466
ENSG00000184939	ZFP90	NM_133458
ENSG00000186660	ZFP91	NM_053023
ENSG00000186660	ZFP91	NM_001197051
ENSG00000189420	ZFP92	NM_001136273
ENSG00000162300	ZFPL1	NM_006782
ENSG00000179588	ZFPM1	NM_153813
ENSG00000169946	ZFPM2	NM_012082
ENSG00000056097	ZFR	NM_016107
ENSG00000105278	ZFR2	NM_015174
ENSG00000105278	ZFR2	NM_001145640
ENSG00000005889	ZFX	NM_001178085
ENSG00000005889	ZFX	NM_003410
ENSG00000005889	ZFX	NM_001178095
ENSG00000005889	ZFX	NM_001178084
ENSG00000005889	ZFX	NM_001178086
ENSG00000067646	ZFY	NM_001145276
ENSG00000067646	ZFY	NM_003411
ENSG00000067646	ZFY	NM_001145275
ENSG00000165861	ZFYVE1	NM_021260
ENSG00000165861	ZFYVE1	NM_178441
ENSG00000039319	ZFYVE16	NM_014733
ENSG00000039319	ZFYVE16	NM_001105251
ENSG00000166140	ZFYVE19	NM_001258421
ENSG00000166140	ZFYVE19	NM_001077268
ENSG00000166140	ZFYVE19	NM_032850
ENSG00000166140	ZFYVE19	NM_001258420
ENSG00000131381	ZFYVE20	NM_022340
ENSG00000100711	ZFYVE21	NM_001198953
ENSG00000100711	ZFYVE21	NM_024071
ENSG00000072121	ZFYVE26	NM_015346
ENSG00000155256	ZFYVE27	NM_144588
ENSG00000155256	ZFYVE27	NM_001002262
ENSG00000155256	ZFYVE27	NM_001174119
ENSG00000155256	ZFYVE27	NM_001174120
ENSG00000155256	ZFYVE27	NM_001174122
ENSG00000155256	ZFYVE27	NM_001002261
ENSG00000155256	ZFYVE27	NM_001174121
ENSG00000159733	ZFYVE28	NM_020972
ENSG00000159733	ZFYVE28	NM_001172656
ENSG00000159733	ZFYVE28	NM_001172659
ENSG00000159733	ZFYVE28	NM_001172660
ENSG00000159733	ZFYVE28	NM_001172658
ENSG00000159733	ZFYVE28	NM_001172657
ENSG00000157077	ZFYVE9	NM_007323
ENSG00000157077	ZFYVE9	NM_007324
ENSG00000157077	ZFYVE9	NM_004799
ENSG00000174992	ZG16	NM_152338
ENSG00000162078	ZG16B	NM_145252
ENSG00000220201	ZGLP1	NM_001103167
ENSG00000197114	ZGPAT	NM_181485
ENSG00000197114	ZGPAT	NM_001195653
ENSG00000197114	ZGPAT	NM_001195654
ENSG00000197114	ZGPAT	NM_032527
ENSG00000197114	ZGPAT	NM_001083113
ENSG00000165156	ZHX1	NM_001017926
ENSG00000165156	ZHX1	NM_007222
ENSG00000259305	ZHX1-C8ORF76	NM_001204180
ENSG00000178764	ZHX2	NM_014943
ENSG00000174306	ZHX3	NM_015035
ENSG00000152977	ZIC1	NM_003412
ENSG00000043355	ZIC2	NM_007129
ENSG00000156925	ZIC3	NM_003413
ENSG00000174963	ZIC4	NM_032153
ENSG00000174963	ZIC4	NM_001243256
ENSG00000174963	ZIC4	NM_001168379
ENSG00000174963	ZIC4	NM_001168378
ENSG00000139800	ZIC5	NM_033132
ENSG00000171649	ZIK1	NM_001010879
ENSG00000269699	ZIM2	NM_001146326
ENSG00000269699	ZIM2	NM_001146327
ENSG00000269699	ZIM2	NM_015363
ENSG00000141946	ZIM3	NM_052882
ENSG00000106261	ZKSCAN1	NM_003439
ENSG00000155592	ZKSCAN2	NM_001012981
ENSG00000189298	ZKSCAN3	NM_001242895
ENSG00000189298	ZKSCAN3	NM_001242894
ENSG00000189298	ZKSCAN3	NM_024493
ENSG00000187626	ZKSCAN4	NM_019110
ENSG00000196652	ZKSCAN5	NM_145102
ENSG00000196652	ZKSCAN5	NM_014569
ENSG00000196345	ZKSCAN7	NM_025169
ENSG00000196345	ZKSCAN7	NM_018651
ENSG00000198315	ZKSCAN8	NM_001278119
ENSG00000198315	ZKSCAN8	NM_001278121
ENSG00000198315	ZKSCAN8	NM_001278122
ENSG00000198315	ZKSCAN8	NM_006298
ENSG00000166432	ZMAT1	NM_001011657
ENSG00000146007	ZMAT2	NM_144723
ENSG00000172667	ZMAT3	NM_022470
ENSG00000172667	ZMAT3	NM_152240
ENSG00000165061	ZMAT4	NM_001135731
ENSG00000165061	ZMAT4	NM_024645
ENSG00000100319	ZMAT5	NM_001003692
ENSG00000100319	ZMAT5	NM_019103
ENSG00000108175	ZMIZ1	NM_020338
ENSG00000122515	ZMIZ2	NM_031449
ENSG00000122515	ZMIZ2	NM_174929
ENSG00000084073	ZMPSTE24	NM_005857
ENSG00000197056	ZMYM1	NM_024772
ENSG00000121741	ZMYM2	NM_001190964
ENSG00000121741	ZMYM2	NM_003453
ENSG00000121741	ZMYM2	NM_197968
ENSG00000121741	ZMYM2	NM_001190965
ENSG00000147130	ZMYM3	NM_201599
ENSG00000147130	ZMYM3	NM_001171162
ENSG00000147130	ZMYM3	NM_001171163
ENSG00000147130	ZMYM3	NM_005096
ENSG00000146463	ZMYM4	NM_005095
ENSG00000132950	ZMYM5	NM_001039649
ENSG00000132950	ZMYM5	NM_001039650
ENSG00000132950	ZMYM5	NM_001142684
ENSG00000163867	ZMYM6	NM_007167
ENSG00000243749	ZMYM6NB	NM_001195156
ENSG00000004838	ZMYND10	NM_015896
ENSG00000015171	ZMYND11	NM_001202468
ENSG00000015171	ZMYND11	NM_001202467
ENSG00000015171	ZMYND11	NM_001202465
ENSG00000015171	ZMYND11	NM_006624
ENSG00000015171	ZMYND11	NM_001202466
ENSG00000015171	ZMYND11	NM_001202464
ENSG00000015171	ZMYND11	NM_212479
ENSG00000066185	ZMYND12	NM_032257
ENSG00000066185	ZMYND12	NM_001146192
ENSG00000141497	ZMYND15	NM_001267822
ENSG00000141497	ZMYND15	NM_001136046
ENSG00000141497	ZMYND15	NM_032265
ENSG00000165724	ZMYND19	NM_138462
ENSG00000101040	ZMYND8	NM_012408
ENSG00000101040	ZMYND8	NM_183048
ENSG00000101040	ZMYND8	NM_183047
ENSG00000256223	ZNF10	NM_015394
ENSG00000197020	ZNF100	NM_173531
ENSG00000181896	ZNF101	NM_033204
ENSG00000103994	ZNF106	NM_022473
ENSG00000196247	ZNF107	NM_016220
ENSG00000196247	ZNF107	NM_001013746
ENSG00000062370	ZNF112	NM_013380
ENSG00000062370	ZNF112	NM_001083335
ENSG00000178150	ZNF114	NM_153608
